"OWF_ID","MunicipalityName","Basin"
Arvada,Arvada,Metro
Arvada,Arvada,South Platte
Aurora,Aurora,Metro
Aurora,Aurora,South Platte
Brighton,Brighton,Metro
Brighton,Brighton,South Platte
Broomfield,Broomfield,Metro
Broomfield,Broomfield,South Platte
CommerceCity,Commerce City,Metro
CommerceCity,Commerce City,South Platte
Denver,Denver,Metro
Denver,Denver,South Platte
GrandJunction,Grand Junction,Colorado
GrandJunction,Grand Junction,Gunnison
Lochbuie,Lochbuie,Metro
Lochbuie,Lochbuie,South Platte
Northglenn,Northglenn,Metro
Northglenn,Northglenn,South Platte
WoodlandPark,Woodland Park,Arkansas
WoodlandPark,Woodland Park,Metro
